,TripID,VehicleID,ChargeType,SoCStart,SoCEnd,dE,Pmax,t0,t1,t2,Location,BatteryCapacity,lbd,t_inf
0,2013093257,2013003863,home,0.3781295928824988,0.99999998651353,24.874815745241243,7.4,1230.0,1385.480494023649,7870.0,h,40.0,0.013566606848703488,2293.3451300928027
1,2012073370,2012002587,home,0.17867514770024118,0.9999999998155785,24.63974556346012,7.4,30.0,201.74212747843458,850.0,h,30.0,0.018070799999287915,584.0026980510276
2,2012073348,2012002587,home,0.1649671184822455,0.9999999998155792,25.050986440000013,7.4,5490.0,5665.531201893728,6265.0,h,30.0,0.018070799999287915,6047.791772466321
3,2012073368,2012002587,home,0.38410558181557924,0.9999999998155769,18.47683253999993,7.4,9660.0,9774.958530824932,9825.0,h,30.0,0.018070799999287915,10157.219101397524
4,2012073439,2012002586,home,0.20972243370533644,0.9999999998155785,23.708326983307263,7.4,705.0,868.1602609536847,870.0,h,30.0,0.018070799999287915,1250.4208315262777
5,2012073389,2012002586,home,0.34304595394891213,0.9999999998155801,19.70862137600004,7.4,4014.0,4140.307936562033,4780.0,h,30.0,0.018070799999287915,4522.568507134626
6,2012073412,2012002586,home,0.26699927448224686,0.999999999815577,21.990021759999905,7.4,6900.0,7047.328210370386,7680.0,h,30.0,0.018070799999287915,7429.588780942979
7,2013069245,2013002633,home,0.15916666666666668,0.9999999998155784,25.224999994467353,7.4,30.0,207.13452088452087,930.0,h,30.0,0.018070799999287915,589.3950914571138
8,2013069251,2013002633,home,0.2987569171489118,0.999999999815578,21.037292479999984,7.4,2370.0,2508.5499921885685,3330.0,h,30.0,0.018070799999287915,2890.8105627611612
9,2013069243,2013002633,home,0.2064880904822446,0.9999999998155816,23.80535728000011,7.4,8670.0,8834.054274743852,9570.0,h,30.0,0.018070799999287915,9216.314845316445
10,2014105074,2014003747,home,0.16230209078422828,0.9999999999277065,50.261874548608695,7.4,860.0,1212.5356991979081,3485.0,h,60.0,0.009035400003112216,1977.0569444775485
11,2014105088,2014003747,home,0.23475882992770658,0.9999999999277064,45.91447019999999,7.4,8335.0,8647.479762324978,9270.0,h,60.0,0.009035400003112216,9412.001007604618
12,2014096802,2014003448,home,0.23890184035853246,0.9999999998155782,22.832944783711373,7.4,990.0,1145.0947001465972,1860.0,h,30.0,0.018070799999287915,1527.3552707191902
13,2014096807,2014003448,home,0.533666912482245,0.9999999998155782,13.989992619999994,7.4,2715.0,2788.6178681713695,3300.0,h,30.0,0.018070799999287915,3170.8784387439623
14,2014096786,2014003448,home,0.18030949314891165,0.7229761598155784,16.28,7.4,5310.0,5481.29037351535,5460.0,h,30.0,0.018070799999287915,5863.550944087943
15,2014096791,2014003448,home,0.2633915715489117,0.9999999998155773,22.09825284799997,7.4,6650.0,6798.325425554662,7625.0,h,30.0,0.018070799999287915,7180.5859961272545
16,2013158096,2013006394,home,0.12703904817690814,0.9999999865135297,34.91843753346487,7.4,2770.0,3018.020006814407,3450.0,h,40.0,0.013566606848703488,3925.8846428835614
17,2013158079,2013006394,home,0.2601059215135295,0.9999999865135296,29.5957626,7.4,6960.0,7158.97816160435,8010.0,h,40.0,0.013566606848703488,8066.842797673504
18,2013146906,2013005969,home,0.18265154402973965,0.999999999815579,24.52045367357518,7.4,2148.0,2318.6430007288805,5191.0,h,30.0,0.018070799999287915,2700.903571301473
19,2013146896,2013005969,home,0.22236691181557894,0.9999999998155755,23.3289926399999,7.4,8889.0,9048.665165652941,9517.0,h,30.0,0.018070799999287915,9430.925736225534
20,2012159138,2012005613,home,0.15398868867239696,0.9999999999277058,50.76067867531853,7.4,4320.0,4677.131560316242,4875.0,h,60.0,0.009035400003112216,5441.6528055958825
21,2014020729,2014000743,home,0.1523266610973605,0.9999999997770379,63.57550040097581,7.4,7020.0,7467.562964536529,8280.0,h,75.0,0.007228320005424509,8423.214472744072
22,2016086903,2016003271,home,0.09166666666666666,0.7519111111111112,39.61466666666667,7.4,165.0,556.5847665847666,530.0,h,60.0,0.009035400003112216,1321.106011864407
23,2016086902,2016003271,Rapid Enroute,0.09166666666666666,0.3749105066666667,22.736616726647412,350.0,0.0,3.897705724568128,3.897705724568128,Rapid Enroute,60.0,,3.897705724568128
24,2015213460,2015008802,home,0.19479166666666667,0.999999999926836,19.324999998244063,7.4,20.0,153.82985257985257,510.0,h,24.0,0.02258850000210788,459.6383394695081
25,2015213481,2015008802,home,0.22369461742683605,0.9999999999268346,18.631329179999966,7.4,4870.0,4997.43853668694,5130.0,h,24.0,0.02258850000210788,5303.247023576596
26,2015213488,2015008802,home,0.4847429765935014,0.9999999999268355,12.36616856000002,7.4,6825.0,6894.712855298734,7715.0,h,24.0,0.02258850000210788,7200.52134218839
27,2015213458,2015008802,home,0.19479166666666667,0.9999999999268369,19.324999998244085,7.4,8630.0,8763.829852579853,9440.0,h,24.0,0.02258850000210788,9069.638339469508
28,2012206414,2012007347,home,0.13239139213074463,0.9999999999277069,52.05651646781774,7.4,3915.0,4284.071097716419,4665.0,h,60.0,0.009035400003112216,5048.592342996059
29,2013193168,2013007694,home,0.2915036198979875,0.9999999999268362,17.003913120692367,7.4,935.0,1047.443916975875,1960.0,h,24.0,0.02258850000210788,1353.2524038655306
30,2013193184,2013007694,home,0.23395415992683644,0.9999999999268357,18.385100159999983,7.4,6695.0,6820.16984178522,9600.0,h,24.0,0.02258850000210788,7125.978328674876
31,2014004966,2014000195,home,0.16490594968408923,0.9999999998155787,25.052821503944685,7.4,170.0,345.54810973105646,780.0,h,30.0,0.018070799999287915,727.8086803036495
